# SGE Audit Database
# file_path	package	status	tested	last_audited	notes	source
AssetLoader.scala	assets.loaders	pass	no	2026-03-19	`resolve()` and `getDependencies()` ported.	libgdx
AsynchronousAssetLoader.scala	assets.loaders	pass	no	2026-03-19	All 3 methods (loadAsync, unloadAsync, loadSync) faithfully ported.	libgdx
BitmapFontLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `BitmapFontParameter` with 6 fields (flip, genMipMaps, minFilter, magFilter, bitmapFontData, atlasName).; test: getDependencies resolves font textures; loadSync assembles BitmapFont (requires GL context)	libgdx
CubemapLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `CubemapParameter` with 7 fields. Java dead code `if (info == null) return null` in `loadSync` correctly omitted.; test: loadAsync/loadSync with KTX and parameter-supplied data (requires GL context)	libgdx
FileHandleResolver.scala	assets.loaders	pass	no	2026-03-19	Trait with single `resolve` method + companion object containing all 7 resolver classes (`Absolute`, `Classpath`, `External`, `Internal`, `Local`, `Prefix`, `ForResolution`).; test: ForResolution.choose() picks best resolution for screen size; Prefix.resolve prepends prefix	libgdx
I18NBundleLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `I18NBundleParameter` with locale/encoding as `Nullable` vals.; test: loadAsync/loadSync with locale and encoding parameters	libgdx
ModelLoader.scala	assets.loaders	pass	no	2026-03-19	All 8 methods present. `ModelParameters` with textureParameter field.; test: getDependencies collects texture dependencies; loadSync assembles Model (requires GL context)	libgdx
MusicLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `getLoadedMusic` returns `Nullable[Music]`.; test: loadAsync/loadSync (requires audio backend)	libgdx
PixmapLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `getDependencies` returns empty `DynamicArray` instead of Java `null`.; test: loadAsync/loadSync (requires GL context)	libgdx
ShaderProgramLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `ShaderProgramParameter` with 5 fields. Primary constructor with default suffix params covers Java's 2 constructors.; test: file suffix resolution (.vert/.frag) and code prepend logic	libgdx
SkinLoader.scala	gltf.loaders.shared.scene	pass	no	2026-03-31	All methods ported. `newSkin` protected factory preserved.; test: getDependencies resolves atlas; loadSync applies resources (requires GL context)	gdx-gltf
SoundLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `getLoadedSound` returns `Nullable[Sound]`.; test: loadAsync/loadSync (requires audio backend)	libgdx
SynchronousAssetLoader.scala	assets.loaders	pass	no	2026-03-19	Single abstract method `load` ported.	libgdx
TextureAtlasLoader.scala	assets.loaders	pass	no	2026-03-19	`load()` and `getDependencies()` ported. `TextureAtlasParameter` with flip field.; test: getDependencies resolves page textures; load assembles atlas (requires GL context)	libgdx
TextureLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `TextureParameter` with 8 fields. Java dead code `if (info == null) return null` in `loadSync` correctly omitted.; test: loadAsync/loadSync with parameter-supplied and file-loaded data (requires GL context)	libgdx
AssetDescriptor.scala	assets	pass	no	2026-03-19	4/4 constructors, 3/3 fields, 1/1 method (100%).	libgdx
