# re-scale skip-policy
# path	tool	reason	added	added_by
sge-extension/ai/src/main/scala/sge/ai/steer/limiters/	shortcuts	gdx-ai NullLimiter pattern: classes whose entire purpose is to throw UnsupportedOperationException for unsupported limit dimensions	2026-04-08	dev
sge-extension/ai/src/main/scala/sge/ai/steer/SteerableAdapter.scala	shortcuts	gdx-ai SteerableAdapter: by-design throws for methods subclasses must override	2026-04-08	dev
sge-extension/ai/src/main/scala/sge/ai/btree/decorator/Include.scala	shortcuts	gdx-ai Include: non-lazy variant intentionally throws to enforce lazy semantics	2026-04-08	dev
sge-extension/ai/src/main/scala/sge/ai/btree/TaskCloneException.scala	shortcuts	Java interop: this(null,null) ctor for RuntimeException compatibility	2026-04-08	dev
sge-extension/ai/src/main/scala/sge/ai/btree/utils/DistributionAdapters.scala	shortcuts	Java interop: this(null,null) ctor for RuntimeException compatibility	2026-04-08	dev
sge-extension/ai/src/main/scala/sge/ai/pfa/PathFinder.scala	shortcuts	Documentation comment about throwing in subclasses, no actual throw	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/data/GLTFCodecs.scala	shortcuts	jsoniter codec Java interop boundary: every nullValue override is a null.asInstanceOf at the Java codec contract	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/scene3d/animation/AnimationControllerHack.scala	shortcuts	Java interop with libgdx 3D animation API: getOrElse(null).asInstanceOf for Interpolation/WeightVector	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/scene3d/scene/MirrorSource.scala	shortcuts	Lifecycle clear-to-null on dispose, all @nowarn-d Java interop boundaries	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/scene3d/shaders/PBRShaderProvider.scala	shortcuts	Lazy-init null pattern for shader source caches, all @nowarn	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/scene3d/shaders/PBRDepthShaderProvider.scala	shortcuts	Lazy-init null pattern for shader source caches, all @nowarn	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/scene3d/lights/DirectionalShadowLight.scala	shortcuts	FrameBuffer lifecycle pattern, @nowarn Java interop	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/scene3d/scene/CascadeShadowMap.scala	shortcuts	var initialization with null.asInstanceOf, assigned in loop body	2026-04-08	dev
sge-extension/gltf/src/main/scala/sge/gltf/scene3d/model/NodePartPlus.scala	shortcuts	userData getOrElse(null) Java interop boundary	2026-04-08	dev
sge-extension/freetype/src/main/scalajs/sge/platform/FreetypePlatform.scala	shortcuts	Scala.js platform stub: FreeType requires native FFI, JS users pre-generate fonts	2026-04-08	dev
sge-extension/freetype/src/main/scalajs/sge/platform/FreetypeOpsJs.scala	shortcuts	Scala.js stub implementation of FreetypeOps - throws by design on JS	2026-04-08	dev
sge-extension/freetype/src/main/scala/sge/platform/FreetypeOps.scala	shortcuts	Trait/interface comment mentioning JS stub variant	2026-04-08	dev
sge-extension/physics/src/main/scalajs/sge/platform/PhysicsPlatform.scala	shortcuts	Scala.js platform stub: Rapier2D physics not available on JS	2026-04-08	dev
sge-extension/physics/src/main/scalajs/sge/platform/PhysicsOpsJs.scala	shortcuts	Scala.js stub: throws by design until Rapier2D WASM build is wired	2026-04-08	dev
sge-extension/physics/src/main/scala/sge/platform/PhysicsOps.scala	shortcuts	Trait/interface doc comment mentioning Rust delegation	2026-04-08	dev
sge-extension/visui/src/main/scala/sge/visui/widget/MultiSplitPane.scala	shortcuts	VisUI by design: parent SplitPane setters are forbidden, must use setWidgets	2026-04-08	dev
sge-extension/visui/src/main/scala/sge/visui/widget/VisSplitPane.scala	shortcuts	VisUI by design: parent SplitPane setters are forbidden, must use setWidget	2026-04-08	dev
sge-extension/visui/src/main/scala/sge/visui/widget/file/FileUtils.scala	shortcuts	Catches UnsupportedOperationException from Desktop platform API for unsupported OSs	2026-04-08	dev
