# SGE Audit Database
# file_path	package	status	tested	last_audited	notes
AssetLoader.scala	assets.loaders	pass	no	2026-03-19	`resolve()` and `getDependencies()` ported.
AsynchronousAssetLoader.scala	assets.loaders	pass	no	2026-03-19	All 3 methods (loadAsync, unloadAsync, loadSync) faithfully ported.
BitmapFontLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `BitmapFontParameter` with 6 fields (flip, genMipMaps, minFilter, magFilter, bitmapFontData, atlasName).; test: getDependencies resolves font textures; loadSync assembles BitmapFont (requires GL context)
CubemapLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `CubemapParameter` with 7 fields. Java dead code `if (info == null) return null` in `loadSync` correctly omitted.; test: loadAsync/loadSync with KTX and parameter-supplied data (requires GL context)
FileHandleResolver.scala	assets.loaders	pass	no	2026-03-19	Trait with single `resolve` method + companion object containing all 7 resolver classes (`Absolute`, `Classpath`, `External`, `Internal`, `Local`, `Prefix`, `ForResolution`).; test: ForResolution.choose() picks best resolution for screen size; Prefix.resolve prepends prefix
I18NBundleLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `I18NBundleParameter` with locale/encoding as `Nullable` vals.; test: loadAsync/loadSync with locale and encoding parameters
ModelLoader.scala	assets.loaders	pass	no	2026-03-19	All 8 methods present. `ModelParameters` with textureParameter field.; test: getDependencies collects texture dependencies; loadSync assembles Model (requires GL context)
MusicLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `getLoadedMusic` returns `Nullable[Music]`.; test: loadAsync/loadSync (requires audio backend)
PixmapLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `getDependencies` returns empty `DynamicArray` instead of Java `null`.; test: loadAsync/loadSync (requires GL context)
ShaderProgramLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `ShaderProgramParameter` with 5 fields. Primary constructor with default suffix params covers Java's 2 constructors.; test: file suffix resolution (.vert/.frag) and code prepend logic
SkinLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `newSkin` protected factory preserved.; test: getDependencies resolves atlas; loadSync applies resources (requires GL context)
SoundLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `getLoadedSound` returns `Nullable[Sound]`.; test: loadAsync/loadSync (requires audio backend)
