# SGE Quality Issues Database
# id	file_path	category	status	severity	description	last_updated
ISS-001	(multiple)	other	resolved	info	Missing license header — 0 files	2026-03-19
ISS-002	(multiple)	other	resolved	info	return keyword usage — 0 files	2026-03-19
ISS-003	(multiple)	other	resolved	minor	Direct null checks — 2 files	2026-03-19
ISS-004	(multiple)	other	open	minor	null.asInstanceOf — 4 files	2026-03-19
ISS-005	(multiple)	other	resolved	minor	Remaining Java syntax — 2 files	2026-03-19
ISS-006	(multiple)	other	resolved	minor	TODO/FIXME markers — 65 files	2026-03-19
ISS-007	(multiple)	other	resolved	info	ArrayBuffer→DynamicArray — 0 files	2026-03-19
ISS-008	(multiple)	todo	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-009	(multiple)	todo	resolved	info	Typed GL enums — 0 files	2026-03-19
ISS-010	(multiple)	todo	resolved	info	Opaque Pixels — 0 files	2026-03-19
ISS-011	(multiple)	todo	resolved	info	Input.Keys/Buttons opaque type — 0 files	2026-03-19
ISS-012	(multiple)	todo	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-013	(multiple)	todo	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-014	(multiple)	todo	open	minor	Color immutability — ~4 files	2026-03-19
ISS-015	(multiple)	todo	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-016	(multiple)	todo	open	minor	Other (ComparableTimSort, Show, JsonReader) — ~5 files	2026-03-19
ISS-017	(multiple)	todo	resolved	info	Java-style getters/setters — 0 files	2026-03-19
ISS-018	(multiple)	todo	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-019	1	bug	resolved	major	`math.collision.OrientedBoundingBox.update()` — Resolution: axes via `mul(transform)` includes translation	2026-03-19
ISS-020	2	bug	resolved	major	`graphics.Camera.rotate(Matrix4)` — Resolution: uses `mul()` instead of `rot()`	2026-03-19
ISS-021	3	bug	resolved	major	`math.CumulativeDistribution.ensureCapacity()` — Resolution: values assignment commented out	2026-03-19
ISS-022	4	bug	resolved	major	`utils.compression.lzma.Encoder.getSubCoder` — Resolution: operator precedence differs from Java	2026-03-19
ISS-023	5	bug	resolved	major	`utils.compression.lz.BinTree.normalizeLinks` — Resolution: compares against constant 0	2026-03-19
ISS-024	6	bug	resolved	major	`graphics.g2d.DistanceFieldFont` — Resolution: vertex shader missing v_texCoords	2026-03-19
ISS-025	7	bug	resolved	major	`maps.tiled.BaseTiledMapLoader.loadProjectFile` — Resolution: never calls projectClassMembers.add()	2026-03-19
ISS-026	8	bug	resolved	major	`graphics.g3d.loader.G3dModelLoader.parseMeshes` — Resolution: reads mesh ID instead of meshPart ID	2026-03-19
ISS-027	9	bug	resolved	major	`graphics.Pixmap` — Resolution: drawing methods are stubs	2026-03-19
ISS-028	10	bug	resolved	major	`graphics.Mesh` — Resolution: missing calculateRadius, scale, transform	2026-03-19
ISS-029	11	bug	resolved	major	`graphics.glutils.ShapeRenderer` — Resolution: ~25+ method overloads missing	2026-03-19
ISS-030	12	bug	resolved	major	`graphics.glutils.MipMapGenerator` — Resolution: public methods are stubs	2026-03-19
ISS-031	13	bug	resolved	major	`graphics.glutils.ETC1TextureData` — Resolution: consumeCustomData commented out	2026-03-19
ISS-032	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: Pixel buffer allocation (`Gdx2dDraw.newPixelBuffer`)	2026-03-19
ISS-033	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: Clear, setPixel, getPixel	2026-03-19
ISS-034	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: drawLine, drawRect, drawCircle, fillRect, fillCircle, fillTriangle	2026-03-19
ISS-035	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: drawPixmap (blit with optional scaling — nearest/bilinear)	2026-03-19
ISS-036	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: Blend mode (SRC_OVER alpha blending)	2026-03-19
ISS-037	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: Scale mode (nearest/bilinear)	2026-03-19
ISS-038	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: Image decode on JVM (`Gdx2dOpsJvm` via ImageIO)	2026-03-19
ISS-039	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: Image decode on Native (`Gdx2dOpsNative` via Rust `image` crate C ABI)	2026-03-19
ISS-040	(integration-test)	test_gap	resolved	minor	1. Gdx2DPixmap — RESOLVED: 20 unit tests passing (Gdx2DPixmapTest)	2026-03-19
ISS-041	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Bootstrap: Sge context + GL20 available	2026-03-19
ISS-042	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: FileIO: write/read temp file roundtrip	2026-03-19
ISS-043	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: JSON/XML: jsoniter-scala + scala-xml parsing	2026-03-19
ISS-044	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: GL2D: shader compile + mesh draw	2026-03-19
ISS-045	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: GL3D: shader with uniform matrix + depth	2026-03-19
ISS-046	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Audio: miniaudio engine + sound load/play	2026-03-19
ISS-047	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Input: state queries (position, pointers, key press)	2026-03-19
ISS-048	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Pixmap: create, set pixel, read back color	2026-03-19
ISS-049	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Texture: upload Pixmap to GL texture, verify handle	2026-03-19
ISS-050	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: SpriteBatch: begin/end cycle	2026-03-19
ISS-051	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: FBO: FrameBuffer render red + glReadPixels readback	2026-03-19
ISS-052	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Clipboard: write/read roundtrip	2026-03-19
ISS-053	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Window: dimensions, GL version, buffer format, monitor	2026-03-19
ISS-054	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Music: streaming load, play, position query, stop	2026-03-19
ISS-055	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: MultiSound: 3 concurrent sound instances with different pan/pitch	2026-03-19
ISS-056	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: TextureAtlas: load .atlas fixture, findRegion by name	2026-03-19
ISS-057	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: WindowResize: setWindowedMode + dimension readback	2026-03-19
ISS-058	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Cursor: system cursor switching + custom cursor from Pixmap	2026-03-19
ISS-059	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: InputDispatch: InputProcessor set/get roundtrip	2026-03-19
ISS-060	(integration-test)	test_gap	resolved	minor	2. Desktop IT — 20 checks: Fullscreen: fullscreen API exercise (isFullscreen, displayMode, monitors, toggle)	2026-03-19
ISS-061	(integration-test)	test_gap	open	minor	Remaining gaps: Window iconify/restore callbacks	2026-03-19
ISS-062	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: Demo JS loads without fatal errors	2026-03-19
ISS-063	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: WebGL context available (WebGL2/WebGL1)	2026-03-19
ISS-064	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: WebGL shader compilation (vertex + fragment + link)	2026-03-19
ISS-065	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: JSON and XML parsing in JS runtime	2026-03-19
ISS-066	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: FileIO: fetch bundled text asset from server	2026-03-19
ISS-067	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: Canvas has non-zero pixels after rendering	2026-03-19
ISS-068	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: Web Audio API context available	2026-03-19
ISS-069	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: localStorage read/write/remove roundtrip	2026-03-19
ISS-070	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: Mouse click event dispatch to canvas	2026-03-19
ISS-071	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: BrowserPreferences: localStorage protocol roundtrip (typed keys)	2026-03-19
ISS-072	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: Keyboard input event dispatch to canvas	2026-03-19
ISS-073	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: Touch event: synthetic TouchEvent dispatch to canvas	2026-03-19
ISS-074	(integration-test)	test_gap	resolved	minor	3. Browser IT — 13 tests: HTTP fetch: roundtrip via embedded server (api-test.json)	2026-03-19
ISS-075	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Bootstrap: Sge context + GL20	2026-03-19
ISS-076	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: GL2D: clear calls	2026-03-19
ISS-077	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: GL3D: shader + uniform matrix	2026-03-19
ISS-078	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: FileIO: write/read temp file	2026-03-19
ISS-079	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: JSON/XML: class loading + XML parse	2026-03-19
ISS-080	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Audio: subsystem accessible	2026-03-19
ISS-081	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Input: state queries (position, pointers, key press)	2026-03-19
ISS-082	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Preferences: SharedPreferences write/read/remove	2026-03-19
ISS-083	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Clipboard: set/get contents	2026-03-19
ISS-084	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Display: dimensions, PPI, density	2026-03-19
ISS-085	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: FileHandle: external storage write/read roundtrip	2026-03-19
ISS-086	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Touch setup: InputProcessor installed for tracking	2026-03-19
ISS-087	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Touch dispatch: adb input tap → InputProcessor.touchDown received	2026-03-19
ISS-088	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Lifecycle: pause/resume via HOME key + re-launch	2026-03-19
ISS-089	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Sensors: accelerometer availability + gravity reading	2026-03-19
ISS-090	(integration-test)	test_gap	resolved	minor	4. Android IT — 16 checks: Sensor injection: emulator console telnet → accelerometer value change	2026-03-19
ISS-091	(integration-test)	test_gap	resolved	minor	5. JVM Platform IT Gaps — RESOLVED: API shape tests (31 tests across 7 suites)	2026-03-19
ISS-092	(integration-test)	test_gap	resolved	minor	5. JVM Platform IT Gaps — RESOLVED: Panama FFM symbol availability	2026-03-19
ISS-093	(integration-test)	test_gap	resolved	minor	5. JVM Platform IT Gaps — RESOLVED: `sge_copy_bytes` data correctness	2026-03-19
ISS-094	(integration-test)	test_gap	resolved	minor	5. JVM Platform IT Gaps — RESOLVED: `sge_transform_v4m4` with identity and translation matrices	2026-03-19
ISS-095	(integration-test)	test_gap	resolved	minor	5. JVM Platform IT Gaps — RESOLVED: ETC1 encode/decode block roundtrip	2026-03-19
ISS-096	(integration-test)	test_gap	resolved	minor	6. Cross-Platform Compilation: `sgeJS/compile` — Scala.js compilation	2026-03-19
ISS-097	(integration-test)	test_gap	resolved	minor	6. Cross-Platform Compilation: `sgeNative/compile` — Scala Native compilation	2026-03-19
ISS-098	(integration-test)	test_gap	resolved	minor	6. Cross-Platform Compilation: `just test` — JVM unit tests (1450 pass)	2026-03-19
